,Disarmament Section,Transit Section,Mandates Section,Intellectual Coop,Legal Section,Information Section,Political Section,Admininstrative Commissions and Minorities Section,Health Section,Eco. Financial Section,Social Questions,,,,,,,
1922,104367.95,0,99535.12,0,228961.17,601280.46,204522.72,184309.92,163075.19,410686.36,35302.47,,,,,,,
1923,69955.6,93028.5,116560.4,0,237637,611343.73,207769.8,176748.9,150591.3,503780.06,78501.45,,,,,,,
1924,98136.75,95524.6,127312.92,0,240749.92,618890.2,209738.2,217421.55,235354.45,496305.74,98136.75,,,,,,,
1925,177438.3,102933.6,96005.85,29211.65,235317.22,639287.32,212617.15,212204.85,249037.45,545037.29,117578,,,,,,,
1926,211559.25,106175.6,101049.8,31793.4,183372.65,695565.79,215998.8,236892.75,277781.35,588765.69,148518.35,,,,,,,
1927,242473.5,125815.7,102145.45,66768.3,243615.4,777780.2,213927.6,274073.3,296194.05,629495.49,149461.45,,,,,,,
1928,246605.35,141031.8,113236.55,79004.4,331809.35,858554.35,210367.3,245559.25,325726.5,667008.63,167387.85,,,,,,,
1929,255906.65,130918.45,130461.75,98695.3,361003.55,935961.36,221198,297111.95,319502.8,731377.45,174433.55,,,,,,,
1930,245170.85,164886.55,131795,97571.15,369790.5,989471.99,228271.3,269118,344000.5,762541.82,214918.05,,,,,,,
1931,248606.4,213340.25,148708.55,127800.8,354669,1073330.89,203287.9,274586.65,359431.2,819736.1,91433,,,,,,,
1932,257381.95,206577.8,165940.85,128084.55,358227.05,1091060.39,230140.53,285887.5,392908.9,949266.45,81363.7,,,,,,,
1933,262063.55,210651.8,172357.75,128060.9,339611.15,985788.76,225698.35,237112.7,343778.45,948960.55,84919.35,,,,,,,
1934,260133.95,219116.75,164566.3,125804.75,302194.95,832172.95,195054.15,244952.15,319942.45,905499.6,86360.65,,,,,,,
1935,224298.35,193124.85,176680.55,101616.1,181291.1,630089.5,259488.85,154598.75,289033.4,872263.1,64703.1,,,,,,,
1936,242086.55,158617.95,152350.85,138626.8,232554.15,546904.15,309810.2,158957.95,298109.2,883269.7,76899.55,,,,,,,
1937,249444.45,184133.65,120345.7,139890.25,258062,522396.2,286303.7,169912.1,300569.25,886996.4,84223.7,,,,,,,
1938,236418.4,165603.9,136378.4,152750.4,246596.3,542982.1,306057,168345.95,407122.95,888314.7,103472.65,,,,,,,
1939,185326.5,127899.6,147494.3,55306.3,208302.25,486013.25,247918.8,142258.8,386288.7,867265,103772,,,,,,,
